TRT,YR,ST,REP,Total Available Nitrogen (TAN),Available Inorganic Nitrogen (AIN),Mineralized Organic Nitrogen (biological N),Total Available Nitrogen (WEN),Water Extractable Organic Nitrogen (WEON),Total Inorganic Nitrogen (TIN),NO3-N,NH4-N, $ of Nitrogen Saved ,Total Available P as P2O5,Total Available Phosphorus as P,Available Inorganic P as P2O5 ,Available Inorganic P,Mineralized Organic P as P2O5,Mineralized Organic P as P,Available Potassium as K2O,Available Potassium as K, NPK Value as $/a ,One day respiration (Solvita CO2-C),Water Extractable Organic Carbon (WEOC),Organic C:N ratio,Organic N:P ratio,% Microbially Active Carbon,Soil Health Calculation,Aluminum,Iron,Calcium,Magnesium,Sodium,Sulfur as S,Boron,Manganese,Copper,Zinc,Calcium + Magnesium / Aluminum,% P Saturation Iron + Aluminum,% P Saturation Calcium,Ca:Mg,Plant Effective CEC (PECEC),Ca Need,Ca,Mg
2,2,1,3,54.2,32.2,22,29.4,13.3,16.1,15.6,0.5,11.86,35.1,7.7,32.5,7.1,2.6,0.6,117.6,48.8,112.85,28.6,138.6,10.4,14.8,20.6,7,72,65,246,43,8,3,0.2,27,0.51,0.64,4.01,5.2,2.9,5.7,2,55.5,61.1,10.7
3,2,1,1,40.6,16.6,24,20.3,12,8.3,6.5,1.8,12.97,41.1,9,40.8,8.9,0.4,0.1,105.6,43.8,103.18,41.7,151.2,12.6,120.1,27.6,8.4,93,61,409,77,8,4,0.27,32,0.46,0.59,5.23,5.8,2.2,5.3,3.2,45.7,64.4,12.1
3,2,1,2,46,27,19,23,9.5,13.5,13,0.5,10.27,50.1,10.9,48.5,10.6,1.5,0.3,120,49.8,119.31,41.6,148.6,15.6,23.8,28,8.1,94,73,435,65,10,4,0.24,41,0.38,0.81,5.32,6.3,2.4,6.7,3.2,9.4,67.3,10.1
3,2,1,3,50.8,23.2,27.6,26.5,14.9,11.6,11.1,0.5,14.92,45,9.8,43.1,9.4,1.9,0.4,136.8,56.8,127.36,37.2,160.6,10.8,24.8,23.2,8.4,78,75,307,50,8,4,0.24,35,0.44,0.94,4.58,6.1,3.1,6.1,2.4,43.9,63.5,10.3
4,2,1,1,61,47.2,13.8,30.5,6.9,23.6,21.1,2.5,7.46,72.4,15.8,31.1,6.8,41.3,9,175.2,72.7,170.41,53.6,164.1,23.7,0.8,32.7,9.3,90,75,435,75,11,5,0.28,37,0.55,1.03,5.67,4.1,1.6,5.8,3.4,45.3,64.6,11.1
4,2,1,2,51.8,31,20.8,25.9,10.4,15.5,12.8,2.7,11.24,54.7,11.9,50.8,11.1,3.9,0.9,134.4,55.8,132.9,48.8,154.8,14.9,11.6,31.5,9,90,67,418,59,10,4,0.23,39,0.4,0.55,5.3,7.1,2.7,7.1,3.1,6.9,67.4,9.5
4,2,1,3,32.1,14.4,17.7,19.6,12.4,7.2,5.8,1.4,9.55,42.5,9.3,12.4,2.7,30.1,6.6,108,44.8,100.67,27.7,155.5,12.5,1,17.8,7.1,108,88,366,64,9,5,0.32,25,0.38,0.48,3.98,1.4,0.7,5.7,2.9,60.6,62.8,11
5,2,1,1,65.4,53.6,11.8,32.7,5.9,26.8,22.6,4.2,6.38,70.8,15.5,64.1,15.5,6.7,1.5,177.6,73.7,173,52.9,162.7,27.5,3.9,32.5,9.1,87,74,329,62,8,3,0.31,32,0.56,0.89,4.49,8.7,4.3,5.3,2.7,77.8,60.8,11.5
5,2,1,2,50.6,29.6,21,25.3,10.5,14.8,13.2,1.6,11.35,55,12,52.7,11.5,2.3,0.5,148.8,61.8,139.89,53.2,148.8,14.2,21,35.8,9.3,103,75,381,60,8,4,0.31,38,0.47,0.63,4.28,6.5,3,6.3,3,47.6,64,10.1
5,2,1,3,49.2,18.4,30.8,24.6,15.4,9.2,8.4,0.8,16.64,68.5,14.9,67.8,14.8,0.7,0.2,115.2,47.8,130.31,41.2,162.5,10.5,77.1,25.4,8.9,104,73,386,86,8,4,0.42,26,0.42,0.67,4.54,8.4,3.8,4.5,3.2,94.6,60.6,13.5
6,2,1,1,52,28.4,23.6,26,11.8,14.2,11.7,2.5,12.75,90.3,19.7,85.2,18.6,5.1,1.1,151.2,62.8,164.51,41,154,13,8.4,26.6,8.4,97,76,391,71,8,4,0.35,37,0.41,0.67,4.76,10.8,4.8,5.5,3.1,60.8,63.1,11.5
6,2,1,2,63.4,32.6,30.8,31.7,15.4,16.3,15.8,0.5,16.64,79.2,17.3,77.9,17.3,1.3,0.3,156,64.8,166.05,52.6,163.4,10.6,51.4,32.2,10.1,88,105,426,60,8,4,0.34,50,0.46,0.8,5.52,8.8,4,7.1,3.2,5.9,67.5,9.5
6,2,1,3,38.9,14,24.9,20.9,13.9,7,6.5,0.5,13.46,77,16.8,75.1,16.4,1.8,0.4,180,74.7,163.87,32.7,146,10.5,23.2,22.4,7.6,118,122,404,54,9,5,0.29,49,0.51,0.64,3.88,6.8,4.1,7.5,3.1,44.5,64.5,8.6
7,2,1,1,55.4,43.8,11.6,27.7,5.8,21.9,21.4,0.5,6.27,54.8,12,41.2,12.6,13.6,3,208.8,86.7,173.58,44.6,162.4,28,1.6,27.5,8.3,90,88,299,49,9,2,0.25,39,0.45,0.66,3.87,5.1,3,6.1,2.5,80.8,59.9,9.8
7,2,1,2,59.8,27.6,32.2,29.9,16.1,13.8,13.3,0.5,17.4,96.2,21,89.3,19.5,6.9,1.5,163.2,67.7,178.72,83.8,189.1,11.7,10.7,44.3,13.8,94,59,416,102,7,4,0.4,34,0.3,0.72,5.51,12.7,4.7,4.1,3.5,114.4,59.8,14.7
7,2,1,3,55.8,32.8,23,27.9,11.5,16.4,15.9,0.5,12.43,50.8,11.1,50.4,11.1,0.4,0.1,180,74.7,156.22,43.6,161.9,14.1,115.1,26.9,8.7,101,77,365,59,8,4,0.29,31,0.47,0.63,4.2,6.2,3,6.2,2.9,62.6,62.6,10.1
8,2,1,1,37.7,37.2,0.5,18.9,0.3,18.6,18.1,0.5,0.29,88.1,19.2,82.4,19.9,5.6,1.2,165.6,68.7,162.85,32.7,151.8,489.7,0.2,21.5,6.3,87,71,408,85,8,3,0.51,35,0.37,0.67,5.67,11.4,4.4,4.8,3.3,75.9,62.2,13
8,2,1,2,45,40.6,4.4,22.5,2.2,20.3,19.8,0.5,2.39,41.2,9,39.8,8.7,1.4,0.3,136.8,56.8,121.83,60,166.1,75.2,7.4,36.1,9.5,104,108,396,63,10,3,0.31,39,0.42,0.69,4.41,4.1,2.2,6.3,3.1,44.7,64.4,10.2
8,2,1,3,52.2,29.4,22.8,26.1,11.4,14.7,13.2,1.5,12.32,68.7,15,66,14.4,2.7,0.6,134.4,55.8,142.03,55.2,167.5,14.7,19,33,10,97,76,413,81,8,3,0.38,36,0.5,0.88,5.09,8.3,3.5,5.1,3.3,64.5,63.1,12.4
9,2,1,1,41,35.8,5.2,20.5,2.6,17.9,17.2,0.7,2.82,45.8,10,40.8,8.9,5,1.1,175.2,72.7,142.57,74.9,168.8,64.7,2.4,44.4,11.1,84,79,376,72,10,4,0.37,34,0.56,0.76,5.33,5.5,2.4,5.2,3,69.1,62.3,11.9
9,2,1,2,39,25.4,13.6,19.5,6.8,12.7,11.5,1.2,7.35,82,17.9,78.3,17.1,3.7,0.8,225.6,93.6,190.85,54.9,185.5,27.2,7.6,29.6,9.9,82,75,368,57,9,3,0.34,39,0.53,0.9,5.18,10.9,4.6,6.5,2.9,51.7,63.5,9.8
9,2,1,3,27.7,16.6,11.1,16.3,8,8.3,7.8,0.5,5.97,35.1,7.7,32.1,8.3,3.1,0.7,115.2,47.8,97.33,44.2,256.2,32,6.2,17.3,10.3,90,75,343,51,9,4,0.2,28,0.46,0.6,4.38,4.2,2,6.7,2.6,30,65.2,9.7
10,2,1,1,26.5,15.4,11.1,14.8,7.1,7.7,7.2,0.5,6.01,80,17.5,76.5,16.7,3.5,0.8,201.6,83.7,170.35,65.5,334.5,47,5.5,19.6,14,92,77,421,83,10,3,0.43,37,0.56,0.77,5.48,9.9,4,5.1,3.4,80.9,62,12.2
10,2,1,2,29.5,24.6,4.9,15.9,3.6,12.3,11.8,0.5,2.64,44,9.6,42.1,9.2,1.9,0.4,148.8,61.8,121.45,22.5,133.1,36.9,4.5,16.9,5.3,91,69,351,62,9,3,0.29,29,0.33,0.66,4.54,5.8,2.6,5.7,2.8,60.5,62.6,11.1
10,2,1,3,31.2,16.8,14.4,15.6,7.2,8.4,7.9,0.5,7.79,53.5,11.7,47.6,10.4,5.8,1.3,199.2,82.7,154.67,41.4,155.7,21.6,4.5,26.6,8,92,106,310,49,9,2,0.29,36,0.4,0.61,3.9,5.3,3.4,6.3,2.5,73,60.8,9.6
11,2,1,1,36.8,27,9.8,18.4,4.9,13.5,12.2,1.3,5.3,44.5,9.7,38.9,8.5,5.6,1.2,204,84.7,154.46,48.3,178,36.3,3.3,27.1,8.9,88,82,359,53,9,2,0.34,36,0.38,0.72,4.68,5,2.4,6.8,2.8,48.1,63.7,9.4
11,2,1,2,40.2,31.2,9,20.1,4.5,15.6,15.1,0.5,4.87,59.5,13,49,10.7,10.5,2.3,213.6,88.7,170.9,79.6,175.8,39,2,45.3,11.9,94,80,391,64,9,3,0.39,38,0.41,0.78,4.84,6.1,2.7,6.1,3.1,61.3,63.1,10.3
11,2,1,3,28.6,14.4,14.2,14.3,7.1,7.2,6.1,1.1,7.68,59.5,13,49.9,10.9,9.6,2.1,156,64.8,134.68,62.8,161.9,22.8,3.4,38.8,10.2,97,69,388,65,9,3,0.27,29,0.44,0.69,4.67,6.6,2.8,6,3,51.7,63.8,10.7
12,2,1,1,36.2,24.8,11.4,18.1,5.7,12.4,10.2,2.2,6.17,50.3,11,39.8,8.7,10.4,2.3,158.4,65.7,134.12,53.9,163,28.5,2.5,33.1,9.2,82,69,468,69,9,4,0.36,33,0.56,0.77,6.55,5.8,1.9,6.8,3.4,-4.7,68.3,10.1
12,2,1,2,32.6,19.2,13.4,16.3,6.7,9.6,9.1,0.5,7.25,64.1,14,48.5,10.6,15.6,3.4,175.2,72.7,149.76,59.5,162.8,24.3,2,36.5,9.9,84,65,439,70,9,3,0.29,30,0.42,0.71,6.06,7.1,2.4,6.3,3.3,23,66.3,10.6
12,2,1,3,35.8,28.4,7.4,17.9,3.7,14.2,13.3,0.9,4.01,64.1,14,58.2,12.7,6,1.3,172.8,71.7,150.24,95.6,177.1,47.7,2.9,54,13.5,93,78,463,86,10,4,0.37,36,0.58,0.86,5.9,7.4,2.7,5.4,3.6,53.4,64.3,11.9
13,2,1,1,39.2,21.8,17.4,19.6,8.7,10.9,9.8,1.1,9.41,33.3,7.3,27.5,7.4,5.8,1.3,124.8,51.8,107.37,52.4,174.2,20,6.2,30.1,9.6,85,66,440,71,10,3,0.36,35,0.51,0.64,6.01,4,1.4,6.2,3.3,12.2,67.1,10.8
13,2,1,2,41.8,35,6.8,20.9,3.4,17.5,17,0.5,3.68,63.6,13.9,56.8,12.4,6.8,1.5,228,94.6,181.87,55.1,177.1,51.9,2.1,31.1,9.4,94,80,459,69,11,4,0.37,45,0.53,0.81,5.62,7.1,2.7,6.7,3.5,35.7,65.5,9.8
13,2,1,3,24.8,17.8,7,14.2,5.3,8.9,8.4,0.5,3.77,53.7,11.7,43.5,9.5,10.2,2.2,216,89.7,160.05,50.3,306,57.6,1.2,16.4,11.7,113,118,414,57,10,3,0.31,44,0.39,0.83,4.17,4.1,2.3,7.3,3.2,51.5,64,8.8
1,2,2,1,17,3.2,13.8,12.3,10.7,1.6,1.1,0.5,7.43,165.5,36.1,144.7,31.6,20.7,4.5,122.4,50.8,178.71,29.8,185.5,17.3,1.1,16.1,7.8,93,85,390,86,17,4,0.28,25,0.63,1.07,5.12,17.8,8.1,4.5,3.2,93.8,60.7,13.4
1,2,2,2,20.8,2.2,18.6,11.8,10.7,1.1,0.5,0.6,10.07,192.7,42.1,158.9,34.7,33.8,7.4,112.8,46.8,193.24,44.1,202.7,18.9,0.9,21.8,9.5,84,72,375,76,19,8,0.28,29,0.54,1.22,5.37,22.2,9.3,4.9,3,71.3,62.1,12.6
1,2,2,3,9.1,2.2,6.9,10.5,9.4,1.1,0.6,0.5,3.74,68.8,15,61.8,13.5,6.9,1.5,88.8,36.9,95.11,29.8,324.3,34.5,1.7,9.2,10.4,98,74,324,73,16,3,0.2,21,0.47,0.73,4.05,7.8,4.2,4.4,2.8,100.6,58.9,13.3
2,2,2,1,21.2,6,15.2,11.7,8.7,3,1.4,1.6,8.21,132.5,28.9,105.8,23.1,26.7,5.8,91.2,37.9,143.66,43.4,198.9,22.8,1,21.8,9.2,114,102,478,98,19,4,0.37,25,0.59,0.81,5.05,10.7,4.8,4.9,3.8,78.9,62.8,12.9
2,2,2,2,17.2,2.4,14.8,10.5,9.3,1.2,0.5,0.7,7.99,141.3,30.8,120,26.2,21.3,4.6,81.6,33.9,142.13,33.6,169.2,18.2,1.2,19.9,7.7,105,86,408,74,18,3,0.25,22,0.49,0.88,4.59,13.7,6.4,5.5,3.2,56.3,63.6,11.5
2,2,2,3,12.6,2.6,10,10.2,8.9,1.3,0.8,0.5,5.41,125.6,27.4,113.6,24.8,12,2.6,100.8,41.8,139.59,25.3,180,20.2,1.4,14.1,7,112,95,422,74,20,5,0.21,30,0.41,0.66,4.43,12,5.9,5.7,3.3,62.3,63.3,11.1
3,2,2,1,17.5,3.8,13.7,12,10.1,1.9,0.8,1.1,7.37,142.7,31.1,124.6,27.2,18.1,3.9,96,39.8,150.65,59.1,350.1,34.6,1.3,16.9,13.9,96,104,532,114,21,6,0.49,25,0.46,1.15,6.73,13.6,5.1,4.7,4.2,66.4,64,13.7
3,2,2,2,22.4,3.6,18.8,11.2,9.4,1.8,1.3,0.5,10.16,266.4,58.1,229.9,50.2,36.5,8,112.8,46.8,241.25,55.6,205.3,21.8,1,27.1,10.6,84,121,533,118,26,7,0.64,25,0.51,1.62,7.75,24.5,9.4,4.5,4.2,73.6,63.6,14.1
3,2,2,3,16.2,2.8,13.4,11.5,10.1,1.4,0.9,0.5,7.25,203.5,44.4,178.2,38.9,25.3,5.5,110.4,45.8,196.39,31.1,187.4,18.5,0.9,16.6,7.9,80,106,564,123,26,9,0.48,22,0.41,1.61,8.59,20.9,6.9,4.6,4.4,60.5,64.5,14.1
4,2,2,1,12.7,4.6,8.1,10.5,8.2,2.3,0.5,1.8,4.39,123.6,27,112.7,24.6,10.9,2.4,74.4,30.9,124.63,23.9,193.1,23.5,1.3,12.4,7.1,93,89,507,102,20,6,0.32,24,0.51,1.1,6.55,13.5,4.9,5,3.9,44.7,65.1,13.1
4,2,2,2,12.6,2.4,10.2,9.8,8.6,1.2,0.7,0.5,5.53,184,40.2,166.3,36.3,17.8,3.9,81.6,33.9,167.03,29.6,199.2,23.1,1,14.9,7.8,95,93,516,88,15,5,0.27,30,0.44,1.17,6.36,19.3,7,5.9,3.8,5.4,67.6,11.5
4,2,2,3,20.6,2.8,17.8,10.3,8.9,1.4,0.9,0.5,9.62,158.4,34.6,127.8,27.9,30.6,6.7,76.8,31.9,152.42,49.7,180.9,20.3,1.1,27.5,9.5,101,90,438,86,22,13,0.27,21,0.51,0.96,5.19,14.6,6.4,5.1,3.5,63.7,63.4,12.4
5,2,2,1,18.1,4.2,13.9,10.7,8.6,2.1,0.9,1.2,7.52,106.4,23.2,93.9,20.5,12.5,2.7,86.4,35.9,122.81,43.3,214.1,24.9,1.9,20.2,9.5,90,73,383,89,19,4,0.32,23,0.71,1.04,5.24,12.6,5.4,4.3,3.2,94,60.6,14.1
5,2,2,2,13,2.4,10.6,10.5,9.3,1.2,0.7,0.5,5.71,129.5,28.3,116.8,25.5,12.7,2.8,105.6,43.8,144.77,36.9,260.1,27.9,1.4,14.2,9.8,116,95,370,63,16,4,0.28,31,0.57,0.82,3.73,12.1,6.9,5.9,3,71.3,62,10.6
5,2,2,3,14.1,3,11.1,10.7,9.2,1.5,0.7,0.8,5.97,218.6,47.7,198.8,43.4,19.8,4.3,91.2,37.9,194.91,39.4,262.4,28.5,1,15,10.1,105,77,456,109,20,5,0.32,21,0.38,0.95,5.38,23.8,9.5,4.2,3.8,110.1,60.7,14.5
6,2,2,1,14,4.2,9.8,11.1,9,2.1,1.6,0.5,5.31,188.7,41.2,167.2,36.5,21.6,4.7,91.2,37.9,175.79,29.9,219.1,24.3,0.8,13.6,8.3,98,87,473,92,19,6,0.34,27,0.58,0.94,5.77,19.7,7.7,5.1,3.7,52.5,64.4,12.5
6,2,2,2,21.6,2.8,18.8,10.8,9.4,1.4,0.9,0.5,10.16,187.8,41,146.1,31.9,41.7,9.1,117.6,48.8,193.01,61,167.4,17.8,1,36.4,10.4,106,107,495,80,20,6,0.33,32,0.52,0.89,5.42,15,6.4,6.2,3.7,28.1,66.1,10.7
6,2,2,3,14.1,2.2,11.9,10.3,9.2,1.1,0.6,0.5,6.45,155.4,33.9,137.9,30.1,17.6,3.8,96,39.8,157.04,25.5,157.4,17.1,1.2,16.2,6.6,104,122,414,72,17,5,0.2,26,0.5,0.75,4.67,13.3,7.3,5.8,3.2,50,64.1,11.2
7,2,2,1,21.2,2.8,18.4,11.5,10.1,1.4,0.8,0.6,9.94,127,27.7,114.5,25,12.5,2.7,91.2,37.9,140.16,52,228.5,22.6,2.5,22.8,10.8,91,84,403,82,18,4,0.2,27,0.47,0.82,5.33,14.3,6.2,4.9,3.2,66.5,62.8,12.8
7,2,2,2,12.2,3.6,8.6,11,9.2,1.8,0.9,0.9,4.63,200.4,43.7,185,40.4,15.4,3.4,112.8,46.8,193.49,40.3,346,37.6,1,11.6,11.9,106,68,492,116,17,6,0.34,26,0.61,0.99,5.74,23.2,8.2,4.2,4,106.7,61.4,14.5
7,2,2,3,19.5,3,16.5,10.3,8.8,1.5,0.6,0.9,8.93,154.7,33.8,130.5,28.5,24.2,5.3,84,34.9,153.24,38.8,165.4,18.8,1.2,23.5,8.1,101,70,411,97,18,5,0.2,20,0.49,0.8,5.03,16.7,6.9,4.2,3.4,103.3,60.4,14.3
8,2,2,1,10,3.2,6.8,10,8.4,1.6,0.6,1,3.65,233.6,51,221.7,48.4,11.9,2.6,96,39.8,204.78,28.3,281.4,33.5,1,10.1,9.3,92,69,495,117,20,4,0.47,27,0.56,0.87,6.65,30.1,9.8,4.2,4,91.7,62.2,14.7
8,2,2,2,22.9,4,18.9,11.8,9.8,2,1.5,0.5,10.19,126.7,27.6,110.8,24.2,15.9,3.5,64.8,26.9,127.14,54,224.5,22.9,2,24.1,10.9,80,73,383,60,15,3,0.2,25,0.39,0.63,5.54,15.8,6.3,6.4,2.8,7.2,67.4,10.6
8,2,2,3,20.9,3.8,17.1,11.6,9.7,1.9,0.8,1.1,9.21,167.2,36.5,145.2,31.7,22,4.8,81.6,33.9,160.71,44.9,204.5,21.1,1.3,22,9.6,93,76,523,99,19,5,0.31,23,0.6,0.94,6.69,18.8,6.1,5.3,4,28.6,66.2,12.5
9,2,2,1,19.9,2.2,17.7,11.9,10.8,1.1,0.6,0.5,9.58,178.5,38.9,156.2,34.1,22.3,4.9,93.6,38.9,173.65,36.2,176.4,16.3,1.4,20.5,8.2,97,81,420,89,20,5,0.26,27,0.71,0.91,5.25,19.2,8.1,4.7,3.4,80.5,62.1,13.1
9,2,2,2,21.7,3.4,18.3,11.3,9.6,1.7,1.2,0.5,9.86,209.3,45.7,183.2,40,26.1,5.7,115.2,47.8,205.55,66.6,280.5,29.2,1.2,23.7,13.2,89,76,439,95,18,6,0.26,28,0.54,1.04,6,24.2,9.1,4.6,3.5,77.9,62.5,13.5
9,2,2,3,19,2.6,16.4,11,9.7,1.3,0.5,0.8,8.84,121.2,26.4,101.2,22.1,20,4.4,72,29.9,125.25,50.7,240.6,24.8,1.4,21.1,10.9,88,73,402,71,18,4,0.2,20,0.41,0.74,5.38,13.7,5.5,5.7,3.1,33.6,65.3,11.5
10,2,2,1,26.6,4.8,21.8,13.3,10.9,2.4,1.8,0.6,11.78,176.7,38.6,155.7,34,21,4.6,105.6,43.8,182.4,59.2,193.5,17.7,2.2,30.6,10.9,95,76,459,86,15,6,0.34,28,0.55,0.65,5.74,19.9,7.4,5.3,3.5,44.3,64.9,12.2
10,2,2,2,11.6,4,7.6,11.5,9.5,2,0.6,1.4,4.12,129.6,28.3,122.3,26.7,7.3,1.6,91.2,37.9,136.64,28.3,282.1,29.7,1.8,10,9.4,88,67,366,72,18,5,0.2,22,0.48,0.7,4.98,17.2,7.3,5.1,2.9,64.5,62.5,12.3
10,2,2,3,19.1,3.2,15.9,11.3,9.7,1.6,1.1,0.5,8.56,217.1,47.4,191,41.7,26.1,5.7,86.4,35.9,194.15,48.8,239,24.6,1,20.4,10.6,96,104,438,87,18,5,0.24,31,0.49,0.8,5.47,20.9,9.5,5,3.4,59,63.7,12.7
11,2,2,1,28.6,3,25.6,14.3,12.8,1.5,1,0.5,13.83,183.2,40,151.6,33.1,31.6,6.9,91.2,37.9,180.13,66.4,164.3,12.8,1.9,40.4,11.2,80,79,396,71,19,7,0.2,25,0.5,0.93,5.84,20.8,8.4,5.6,3,36.3,65,11.7
11,2,2,2,40,2,38,20,19,1,0.5,0.5,20.53,196.9,43,171.3,37.4,25.6,5.6,105.6,43.8,202.56,88.4,172.7,9.1,3.4,51.2,14.2,97,83,458,91,18,5,0.27,33,0.56,0.91,5.66,20.8,8.2,5,3.6,61.9,63.7,12.7
11,2,2,3,24.8,10.6,14.2,15.3,10,5.3,4.6,0.7,7.67,184.9,40.4,171.3,37.4,13.6,3,76.8,31.9,171.69,28.3,159.6,15.9,1.8,17.7,7,83,69,455,82,20,4,0.24,23,0.39,0.88,6.47,24.6,8.2,5.5,3.4,23.4,66.3,11.9
12,2,2,1,30.6,6.8,23.8,15.3,11.9,3.4,2.5,0.9,12.86,99.5,21.7,85.6,18.7,13.9,3,74.4,30.9,118.9,50.8,166.3,14,3.6,30.5,9.6,72,59,312,78,17,5,0.26,24,0.71,0.77,5.42,14.3,6,4,2.6,90.7,59.4,14.8
12,2,2,2,27.8,2.6,25.2,15.6,14.3,1.3,0.5,0.8,13.63,153.9,33.6,141.5,30.9,12.4,2.7,103.2,42.8,167.22,40.9,185.5,13,3.5,22,9.2,76,64,307,74,17,5,0.2,21,0.57,0.75,5.01,22.1,10.1,4.1,2.6,97.1,58.7,14.2
12,2,2,3,20.6,3.6,17,12.5,10.7,1.8,0.7,1.1,9.2,203.2,44.4,185.5,40.5,17.8,3.9,81.6,33.9,183.65,51.1,257.1,24,1.6,19.9,11.3,103,86,472,97,19,7,0.29,28,0.59,0.91,5.52,21.4,8.6,4.9,3.7,66.7,63.5,13.1
13,2,2,1,30.8,4.2,26.6,15.4,13.3,2.1,0.8,1.3,14.37,86.4,18.9,78.3,17.1,8.1,1.8,72,29.9,109.41,52.5,168.7,12.7,7,31.1,10,96,64,450,102,22,6,0.28,26,0.64,0.72,5.75,10.7,3.8,4.4,3.6,85.9,62.1,14.1
13,2,2,2,27.6,2,25.6,14,13,1,0.5,0.5,13.84,157,34.3,134.7,29.4,22.3,4.9,100.8,41.8,167.81,39.6,160.8,12.4,2,24.6,8.5,103,79,482,98,19,6,0.26,32,0.54,0.88,5.63,16.2,6.1,4.9,3.8,68.1,63.5,12.9
13,2,2,3,11.8,2.4,9.4,13.2,12,1.2,0.7,0.5,5.09,238.9,52.1,225.8,49.3,13.1,2.9,93.6,38.9,207.94,14.8,150.8,12.6,1.2,9.8,5.7,101,95,465,86,21,7,0.25,32,0.58,1.02,5.46,25.2,10.6,5.4,3.6,50.1,64.5,11.9
1,3,1,1,28,12,16,14,8,6,5.5,0.5,8.65,76.9,16.8,66.9,14.6,10,2.2,151.2,62.8,142.96,40.4,133,16.6,3.34,30.4,7.5,72,80,319,50,9,2,0.46,33,1.54,0.72,5.13,9.61,4.58,6.38,2.48,35.6,64.4,10.1
1,3,1,2,16.4,7.4,9,10.8,7.1,3.7,3.2,0.5,4.89,68.3,14.9,59.5,13,8.7,1.9,103.2,42.8,106.25,19.2,120.7,16.98,1.78,15.9,5,75,81,291,51,10,2,0.43,38,1.84,0.66,4.56,8.33,4.47,5.71,2.31,46,63,11
1,3,1,3,18.2,7.2,11,11,7.4,3.6,3.1,0.5,5.92,78.4,17.1,73.3,16,5.1,1.1,122.4,50.8,123.61,21.9,118.4,15.98,3.71,18.5,5.3,96,91,322,49,10,2,0.7,31,1.84,0.56,3.86,8.56,4.97,6.57,2.54,48.1,63.3,9.6
2,3,1,1,21.4,12.2,9.2,10.7,4.6,6.1,5.6,0.5,4.98,50.1,10.9,43.1,9.4,7.1,1.5,96,39.8,93.56,34.9,108.6,23.56,2.88,32.1,6.1,67,68,300,55,9,2,0.41,28,1.99,0.51,5.3,6.96,3.13,5.45,2.35,38,63.9,11.7
2,3,1,2,17.2,7,10.2,8.6,5.1,3.5,3,0.5,5.52,85.9,18.7,68.7,15,17.2,3.7,84,34.9,107.94,32.7,104.6,20.47,1.28,31.3,5.9,88,80,333,48,10,2,0.5,29,1.31,0.49,4.33,8.93,4.5,6.94,2.52,19.7,66,9.5
2,3,1,3,22.4,9.6,12.8,11.4,6.6,4.8,4.3,0.5,6.9,54,11.8,51.3,11.2,2.7,0.6,112.8,46.8,105.27,28.7,118.8,17.97,8.26,24.2,5.9,85,84,262,38,9,2,0.46,32,1.14,0.4,3.53,6.63,4.27,6.89,2.1,46.6,62.4,9.1
3,3,1,1,24.8,11,13.8,12.4,6.9,5.5,5,0.5,7.46,41.2,9,30.7,6.7,10.5,2.3,91.2,37.9,87.21,45.4,114,16.5,3,39.8,7.5,74,64,278,56,8,2,0.53,29,1.26,0.46,4.51,4.86,2.41,4.96,2.26,58.8,61.5,12.4
3,3,1,2,25.6,11.6,14,12.8,7,5.8,5.3,0.5,7.57,109.3,23.8,106.3,23.2,3,0.7,100.8,41.8,136.19,33.8,122.6,17.49,8.76,27.6,6.5,67,101,332,59,11,3,0.58,34,1.24,0.74,5.84,13.81,6.99,5.63,2.55,30.4,65,11.6
3,3,1,3,32.6,18.6,14,16.3,7,9.3,8.8,0.5,7.57,105.3,23,84.3,18.4,21.1,4.6,139.2,57.8,157.42,55.9,146.1,20.84,1.52,38.3,9.2,67,98,359,55,11,4,0.66,34,2.29,0.86,6.18,11.15,5.13,6.53,2.7,15.2,66.6,10.2
4,3,1,1,29.8,6.4,23.4,14.9,11.7,3.2,2.7,0.5,12.65,84.2,18.4,57.7,12.6,26.5,5.8,136.8,56.8,141.1,41.7,138.6,11.84,1.83,30.1,8.1,103,138,345,62,9,3,0.76,40,2.24,0.79,3.95,5.23,3.65,5.56,2.8,72.9,61.5,11.1
4,3,1,2,11.5,3,8.5,13.8,12.3,1.5,1,0.5,4.59,99.1,21.6,92.1,20.1,7,1.5,134.4,55.8,139.49,12.2,141.4,11.49,2.09,8.6,5.3,139,149,410,60,9,3,0.71,58,2.08,0.87,3.38,6.98,4.9,6.83,3.24,61.9,63.2,9.3
4,3,1,3,23.1,6.8,16.3,12.8,9.4,3.4,2.7,0.7,8.82,114.6,25,97.6,21.3,17,3.7,127.2,52.8,151.95,32.9,151.6,16.11,1.65,21.7,7.3,142,137,417,70,10,3,0.58,35,1.54,0.84,3.43,7.63,5.11,5.96,3.37,82.2,61.9,10.4
5,3,1,1,24.2,20.4,3.8,18.7,8.5,10.2,9.7,0.5,2.06,97,21.2,93.4,20.4,3.5,0.8,199.2,82.7,178.72,8.3,148.3,17.43,1.85,5.6,4.6,111,129,380,69,10,3,0.42,49,2.32,0.95,4.05,8.5,5.37,5.51,3.14,93.6,60.5,11
